week,date,home_team,away_team,home_score,away_score,status
1,2022-09-08,LA,BUF,10,31,final
1,2022-09-11,NYJ,BAL,9,24,final
1,2022-09-11,CAR,CLE,24,26,final
1,2022-09-11,MIN,GB,23,7,final
1,2022-09-11,HOU,IND,20,20,final
1,2022-09-11,WAS,JAX,28,22,final
1,2022-09-11,ARI,KC,21,44,final
1,2022-09-11,LAC,LV,24,19,final
1,2022-09-11,MIA,NE,20,7,final
1,2022-09-11,ATL,NO,26,27,final
1,2022-09-11,TEN,NYG,20,21,final
1,2022-09-11,DET,PHI,35,38,final
1,2022-09-11,CIN,PIT,20,23,final
1,2022-09-11,CHI,SF,19,10,final
1,2022-09-11,DAL,TB,3,19,final
1,2022-09-12,SEA,DEN,17,16,final
2,2022-09-15,KC,LAC,27,24,final
2,2022-09-18,LV,ARI,23,29,final
2,2022-09-18,LA,ATL,31,27,final
2,2022-09-18,NYG,CAR,19,16,final
2,2022-09-18,GB,CHI,27,10,final
2,2022-09-18,DAL,CIN,20,17,final
2,2022-09-18,DEN,HOU,16,9,final
2,2022-09-18,JAX,IND,24,0,final
2,2022-09-18,BAL,MIA,38,42,final
2,2022-09-18,PIT,NE,14,17,final
2,2022-09-18,CLE,NYJ,30,31,final
2,2022-09-18,SF,SEA,27,7,final
2,2022-09-18,NO,TB,10,20,final
2,2022-09-18,DET,WAS,36,27,final
2,2022-09-19,PHI,MIN,24,7,final
2,2022-09-19,BUF,TEN,41,7,final
3,2022-09-22,CLE,PIT,29,17,final
3,2022-09-25,SEA,ATL,23,27,final
3,2022-09-25,NE,BAL,26,37,final
3,2022-09-25,MIA,BUF,21,19,final
3,2022-09-25,NYJ,CIN,12,27,final
3,2022-09-25,MIN,DET,28,24,final
3,2022-09-25,TB,GB,12,14,final
3,2022-09-25,CHI,HOU,23,20,final
3,2022-09-25,LAC,JAX,10,38,final
3,2022-09-25,IND,KC,20,17,final
3,2022-09-25,ARI,LA,12,20,final
3,2022-09-25,TEN,LV,24,22,final
3,2022-09-25,CAR,NO,22,14,final
3,2022-09-25,WAS,PHI,8,24,final
3,2022-09-25,DEN,SF,11,10,final
3,2022-09-26,NYG,DAL,16,23,final
4,2022-09-29,CIN,MIA,27,15,final
4,2022-10-02,CAR,ARI,16,26,final
4,2022-10-02,BAL,BUF,20,23,final
4,2022-10-02,NYG,CHI,20,12,final
4,2022-10-02,ATL,CLE,23,20,final
4,2022-10-02,LV,DEN,32,23,final
4,2022-10-02,PHI,JAX,29,21,final
4,2022-10-02,TB,KC,31,41,final
4,2022-10-02,HOU,LAC,24,34,final
4,2022-10-02,NO,MIN,25,28,final
4,2022-10-02,GB,NE,27,24,final
4,2022-10-02,PIT,NYJ,20,24,final
4,2022-10-02,DET,SEA,45,48,final
4,2022-10-02,IND,TEN,17,24,final
4,2022-10-02,DAL,WAS,25,10,final
4,2022-10-03,SF,LA,24,9,final
5,2022-10-06,DEN,IND,9,12,final
5,2022-10-09,TB,ATL,21,15,final
5,2022-10-09,MIN,CHI,29,22,final
