week,date,home_team,away_team,home_score,away_score,status
1,2017-09-07,NE,KC,27,42,final
1,2017-09-10,DET,ARI,35,23,final
1,2017-09-10,CHI,ATL,17,23,final
1,2017-09-10,CIN,BAL,0,20,final
1,2017-09-10,SF,CAR,3,23,final
1,2017-09-10,LA,IND,46,9,final
1,2017-09-10,HOU,JAX,7,29,final
1,2017-09-10,DAL,NYG,19,3,final
1,2017-09-10,BUF,NYJ,21,12,final
1,2017-09-10,TEN,LV,16,26,final
1,2017-09-10,WAS,PHI,17,30,final
1,2017-09-10,CLE,PIT,18,21,final
1,2017-09-10,GB,SEA,17,9,final
1,2017-09-11,DEN,LAC,24,21,final
1,2017-09-11,MIN,NO,29,19,final
2,2017-09-14,CIN,HOU,9,13,final
2,2017-09-17,IND,ARI,13,16,final
2,2017-09-17,CAR,BUF,9,3,final
2,2017-09-17,TB,CHI,29,7,final
2,2017-09-17,BAL,CLE,24,10,final
2,2017-09-17,DEN,DAL,42,17,final
2,2017-09-17,ATL,GB,34,23,final
2,2017-09-17,LAC,MIA,17,19,final
2,2017-09-17,PIT,MIN,26,9,final
2,2017-09-17,NO,NE,20,36,final
2,2017-09-17,LV,NYJ,45,20,final
2,2017-09-17,KC,PHI,27,20,final
2,2017-09-17,SEA,SF,12,9,final
2,2017-09-17,JAX,TEN,16,37,final
2,2017-09-17,LA,WAS,20,27,final
2,2017-09-18,NYG,DET,10,24,final
3,2017-09-21,SF,LA,39,41,final
3,2017-09-24,DET,ATL,26,30,final
3,2017-09-24,JAX,BAL,44,7,final
3,2017-09-24,GB,CIN,27,24,final
3,2017-09-24,IND,CLE,31,28,final
3,2017-09-24,BUF,DEN,26,16,final
3,2017-09-24,NE,HOU,36,33,final
3,2017-09-24,LAC,KC,10,24,final
3,2017-09-24,NYJ,MIA,20,6,final
3,2017-09-24,CAR,NO,13,34,final
3,2017-09-24,PHI,NYG,27,24,final
3,2017-09-24,WAS,LV,27,10,final
3,2017-09-24,CHI,PIT,23,17,final
3,2017-09-24,TEN,SEA,33,27,final
3,2017-09-24,MIN,TB,34,17,final
3,2017-09-25,ARI,DAL,17,28,final
4,2017-09-28,GB,CHI,35,14,final
4,2017-10-01,ATL,BUF,17,23,final
4,2017-10-01,NE,CAR,30,33,final
4,2017-10-01,CLE,CIN,7,31,final
4,2017-10-01,MIN,DET,7,14,final
4,2017-10-01,SEA,IND,46,18,final
4,2017-10-01,NYJ,JAX,23,20,final
4,2017-10-01,DAL,LA,30,35,final
4,2017-10-01,MIA,NO,0,20,final
4,2017-10-01,TB,NYG,25,23,final
4,2017-10-01,DEN,LV,16,10,final
4,2017-10-01,LAC,PHI,24,26,final
4,2017-10-01,BAL,PIT,9,26,final
