week,date,home_team,away_team,home_score,away_score,status
1,2016-09-08,DEN,CAR,21,20,final
1,2016-09-11,BAL,BUF,13,7,final
1,2016-09-11,HOU,CHI,23,14,final
1,2016-09-11,NYJ,CIN,22,23,final
1,2016-09-11,PHI,CLE,29,10,final
1,2016-09-11,IND,DET,35,39,final
1,2016-09-11,JAX,GB,23,27,final
1,2016-09-11,SEA,MIA,12,10,final
1,2016-09-11,TEN,MIN,16,25,final
1,2016-09-11,ARI,NE,21,23,final
1,2016-09-11,DAL,NYG,19,20,final
1,2016-09-11,NO,LV,34,35,final
1,2016-09-11,KC,LAC,33,27,final
1,2016-09-11,ATL,TB,24,31,final
1,2016-09-12,SF,LA,28,0,final
1,2016-09-12,WAS,PIT,16,38,final
2,2016-09-15,BUF,NYJ,31,37,final
2,2016-09-18,LV,ATL,28,35,final
2,2016-09-18,CLE,BAL,20,25,final
2,2016-09-18,PIT,CIN,24,16,final
2,2016-09-18,WAS,DAL,23,27,final
2,2016-09-18,MIN,GB,17,14,final
2,2016-09-18,DEN,IND,34,20,final
2,2016-09-18,LAC,JAX,38,14,final
2,2016-09-18,HOU,KC,19,12,final
2,2016-09-18,NE,MIA,31,24,final
2,2016-09-18,NYG,NO,16,13,final
2,2016-09-18,LA,SEA,9,3,final
2,2016-09-18,CAR,SF,46,27,final
2,2016-09-18,ARI,TB,40,7,final
2,2016-09-18,DET,TEN,15,16,final
2,2016-09-19,CHI,PHI,14,29,final
3,2016-09-22,NE,HOU,27,0,final
3,2016-09-25,BUF,ARI,33,18,final
3,2016-09-25,JAX,BAL,17,19,final
3,2016-09-25,DAL,CHI,31,17,final
3,2016-09-25,MIA,CLE,30,24,final
3,2016-09-25,CIN,DEN,17,29,final
3,2016-09-25,GB,DET,34,27,final
3,2016-09-25,TB,LA,32,37,final
3,2016-09-25,CAR,MIN,10,22,final
3,2016-09-25,KC,NYJ,24,3,final
3,2016-09-25,TEN,LV,10,17,final
3,2016-09-25,PHI,PIT,34,3,final
3,2016-09-25,IND,LAC,26,22,final
3,2016-09-25,SEA,SF,37,18,final
3,2016-09-25,NYG,WAS,27,29,final
3,2016-09-26,NO,ATL,32,45,final
4,2016-09-29,CIN,MIA,22,7,final
4,2016-10-02,NE,BUF,0,16,final
4,2016-10-02,ATL,CAR,48,33,final
4,2016-10-02,WAS,CLE,31,20,final
4,2016-10-02,SF,DAL,17,24,final
4,2016-10-02,TB,DEN,7,27,final
4,2016-10-02,CHI,DET,17,14,final
4,2016-10-02,JAX,IND,30,27,final
4,2016-10-02,PIT,KC,43,14,final
4,2016-10-02,ARI,LA,13,17,final
4,2016-10-02,LAC,NO,34,35,final
4,2016-10-02,BAL,LV,27,28,final
4,2016-10-02,NYJ,SEA,17,27,final
4,2016-10-02,HOU,TEN,27,20,final
4,2016-10-03,MIN,NYG,24,10,final
5,2016-10-06,SF,ARI,21,33,final
5,2016-10-09,DEN,ATL,16,23,final
5,2016-10-09,LA,BUF,19,30,final
5,2016-10-09,IND,CHI,29,23,final
5,2016-10-09,DAL,CIN,28,14,final
5,2016-10-09,MIN,HOU,31,13,final
5,2016-10-09,CLE,NE,13,33,final
5,2016-10-09,GB,NYG,23,16,final
5,2016-10-09,PIT,NYJ,31,13,final
5,2016-10-09,DET,PHI,24,23,final
5,2016-10-09,LV,LAC,34,31,final
5,2016-10-09,MIA,TEN,17,30,final
5,2016-10-09,BAL,WAS,10,16,final
5,2016-10-10,CAR,TB,14,17,final
6,2016-10-13,LAC,DEN,21,13,final
6,2016-10-16,SEA,ATL,26,24,final
6,2016-10-16,NYG,BAL,27,23,final
6,2016-10-16,NO,CAR,41,38,final
6,2016-10-16,NE,CIN,35,17,final
6,2016-10-16,TEN,CLE,28,26,final
6,2016-10-16,GB,DAL,16,30,final
6,2016-10-16,HOU,IND,26,23,final
6,2016-10-16,CHI,JAX,16,17,final
6,2016-10-16,LV,KC,10,26,final
6,2016-10-16,DET,LA,31,28,final
6,2016-10-16,WAS,PHI,27,20,final
6,2016-10-16,MIA,PIT,30,15,final
6,2016-10-16,BUF,SF,45,16,final
6,2016-10-17,ARI,NYJ,28,3,final
7,2016-10-20,GB,CHI,26,10,final
7,2016-10-23,NYJ,BAL,24,16,final
7,2016-10-23,MIA,BUF,28,25,final
7,2016-10-23,CIN,CLE,31,17,final
7,2016-10-23,TEN,IND,26,34,final
7,2016-10-23,PHI,MIN,21,10,final
7,2016-10-23,PIT,NE,16,27,final
7,2016-10-23,KC,NO,27,21,final
7,2016-10-23,LA,NYG,10,17,final
7,2016-10-23,JAX,LV,16,33,final
7,2016-10-23,ATL,LAC,30,33,final
7,2016-10-23,ARI,SEA,6,6,final
7,2016-10-23,SF,TB,17,34,final
7,2016-10-23,DET,WAS,20,17,final
7,2016-10-24,DEN,HOU,27,9,final
8,2016-10-27,TEN,JAX,36,22,final
8,2016-10-30,CAR,ARI,30,20,final
8,2016-10-30,HOU,DET,20,13,final
8,2016-10-30,ATL,GB,33,32,final
8,2016-10-30,IND,KC,14,30,final
8,2016-10-30,BUF,NE,25,41,final
8,2016-10-30,CLE,NYJ,28,31,final
8,2016-10-30,TB,LV,24,30,final
8,2016-10-30,DAL,PHI,29,23,final
8,2016-10-30,DEN,LAC,27,19,final
8,2016-10-30,NO,SEA,25,20,final
8,2016-10-30,CIN,WAS,27,27,final
8,2016-10-31,CHI,MIN,20,10,final
9,2016-11-03,TB,ATL,28,43,final
9,2016-11-06,LA,CAR,10,13,final
9,2016-11-06,CLE,DAL,10,35,final
9,2016-11-06,LV,DEN,30,20,final
9,2016-11-06,MIN,DET,16,22,final
9,2016-11-06,GB,IND,26,31,final
9,2016-11-06,KC,JAX,19,14,final
9,2016-11-06,SF,NO,23,41,final
9,2016-11-06,MIA,NYJ,27,23,final
9,2016-11-06,NYG,PHI,28,23,final
9,2016-11-06,BAL,PIT,21,14,final
9,2016-11-06,LAC,TEN,43,35,final
9,2016-11-07,SEA,BUF,31,25,final
10,2016-11-10,BAL,CLE,28,7,final
10,2016-11-13,PHI,ATL,24,15,final
10,2016-11-13,TB,CHI,36,10,final
10,2016-11-13,PIT,DAL,30,35,final
10,2016-11-13,NO,DEN,23,25,final
10,2016-11-13,TEN,GB,47,25,final
10,2016-11-13,JAX,HOU,21,24,final
10,2016-11-13,CAR,KC,17,20,final
10,2016-11-13,NYJ,LA,6,9,final
10,2016-11-13,LAC,MIA,24,31,final
10,2016-11-13,WAS,MIN,26,20,final
10,2016-11-13,NE,SEA,24,31,final
10,2016-11-13,ARI,SF,23,20,final
10,2016-11-14,NYG,CIN,21,20,final
11,2016-11-17,CAR,NO,23,20,final
11,2016-11-20,MIN,ARI,30,24,final
11,2016-11-20,DAL,BAL,27,17,final
11,2016-11-20,CIN,BUF,12,16,final
11,2016-11-20,NYG,CHI,22,16,final
11,2016-11-20,WAS,GB,42,24,final
11,2016-11-20,DET,JAX,26,19,final
11,2016-11-20,LA,MIA,10,14,final
11,2016-11-20,SF,NE,17,30,final
11,2016-11-20,SEA,PHI,26,15,final
11,2016-11-20,CLE,PIT,9,24,final
11,2016-11-20,KC,TB,17,19,final
11,2016-11-20,IND,TEN,24,17,final
11,2016-11-21,LV,HOU,27,20,final
12,2016-11-24,DET,MIN,16,13,final
12,2016-11-24,IND,PIT,7,28,final
12,2016-11-24,DAL,WAS,31,26,final
12,2016-11-27,ATL,ARI,38,19,final
12,2016-11-27,LV,CAR,35,32,final
12,2016-11-27,BAL,CIN,19,14,final
12,2016-11-27,BUF,JAX,28,21,final
12,2016-11-27,DEN,KC,27,30,final
12,2016-11-27,NO,LA,49,21,final
12,2016-11-27,NYJ,NE,17,22,final
12,2016-11-27,CLE,NYG,13,27,final
12,2016-11-27,HOU,LAC,13,21,final
12,2016-11-27,TB,SEA,14,5,final
12,2016-11-27,MIA,SF,31,24,final
12,2016-11-27,CHI,TEN,21,27,final
12,2016-11-28,PHI,GB,13,27,final
13,2016-12-01,MIN,DAL,15,17,final
13,2016-12-04,LV,BUF,38,24,final
13,2016-12-04,SEA,CAR,40,7,final
13,2016-12-04,JAX,DEN,10,20,final
13,2016-12-04,NO,DET,13,28,final
13,2016-12-04,GB,HOU,21,13,final
13,2016-12-04,ATL,KC,28,29,final
13,2016-12-04,NE,LA,26,10,final
13,2016-12-04,BAL,MIA,38,6,final
13,2016-12-04,PIT,NYG,24,14,final
13,2016-12-04,CIN,PHI,32,14,final
13,2016-12-04,CHI,SF,26,6,final
13,2016-12-04,LAC,TB,21,28,final
13,2016-12-04,ARI,WAS,31,23,final
13,2016-12-05,NYJ,IND,10,41,final
14,2016-12-08,KC,LV,21,13,final
14,2016-12-11,MIA,ARI,26,23,final
14,2016-12-11,LA,ATL,14,42,final
14,2016-12-11,DET,CHI,20,17,final
14,2016-12-11,CLE,CIN,10,23,final
14,2016-12-11,NYG,DAL,10,7,final
14,2016-12-11,TEN,DEN,13,10,final
14,2016-12-11,IND,HOU,17,22,final
14,2016-12-11,JAX,MIN,16,25,final
14,2016-12-11,TB,NO,16,11,final
14,2016-12-11,SF,NYJ,17,23,final
14,2016-12-11,BUF,PIT,20,27,final
14,2016-12-11,CAR,LAC,28,16,final
14,2016-12-11,GB,SEA,38,10,final
14,2016-12-11,PHI,WAS,22,27,final
14,2016-12-12,NE,BAL,30,23,final
15,2016-12-15,SEA,LA,24,3,final
15,2016-12-17,NYJ,MIA,13,34,final
15,2016-12-18,BUF,CLE,33,13,final
15,2016-12-18,NYG,DET,17,6,final
15,2016-12-18,CHI,GB,27,30,final
15,2016-12-18,MIN,IND,6,34,final
15,2016-12-18,HOU,JAX,21,20,final
15,2016-12-18,DEN,NE,3,16,final
15,2016-12-18,ARI,NO,41,48,final
15,2016-12-18,LAC,LV,16,19,final
15,2016-12-18,BAL,PHI,27,26,final
15,2016-12-18,CIN,PIT,20,24,final
15,2016-12-18,ATL,SF,41,13,final
15,2016-12-18,DAL,TB,26,20,final
15,2016-12-18,KC,TEN,17,19,final
15,2016-12-19,WAS,CAR,15,26,final
16,2016-12-22,PHI,NYG,24,19,final
16,2016-12-24,SEA,ARI,31,34,final
16,2016-12-24,CAR,ATL,16,33,final
16,2016-12-24,HOU,CIN,12,10,final
16,2016-12-24,LV,IND,33,25,final
16,2016-12-24,BUF,MIA,31,34,final
16,2016-12-24,GB,MIN,38,25,final
16,2016-12-24,NE,NYJ,41,3,final
16,2016-12-24,CLE,LAC,20,17,final
16,2016-12-24,LA,SF,21,22,final
16,2016-12-24,NO,TB,31,24,final
16,2016-12-24,JAX,TEN,38,17,final
16,2016-12-24,CHI,WAS,21,41,final
16,2016-12-25,PIT,BAL,31,27,final
16,2016-12-25,KC,DEN,33,10,final
16,2016-12-26,DAL,DET,42,21,final
17,2017-01-01,LA,ARI,6,44,final
17,2017-01-01,CIN,BAL,27,10,final
17,2017-01-01,NYJ,BUF,30,10,final
17,2017-01-01,TB,CAR,17,16,final
17,2017-01-01,MIN,CHI,38,10,final
17,2017-01-01,PIT,CLE,27,24,final
17,2017-01-01,PHI,DAL,27,13,final
17,2017-01-01,DET,GB,24,31,final
17,2017-01-01,TEN,HOU,24,17,final
17,2017-01-01,IND,JAX,24,20,final
17,2017-01-01,LAC,KC,27,37,final
17,2017-01-01,MIA,NE,14,35,final
17,2017-01-01,ATL,NO,38,32,final
17,2017-01-01,WAS,NYG,10,19,final
17,2017-01-01,DEN,LV,24,6,final
17,2017-01-01,SF,SEA,23,25,final
