week,date,home_team,away_team,home_score,away_score,status
1,2024-09-05,KC,BAL,27,20,final
1,2024-09-06,PHI,GB,34,29,final
1,2024-09-08,BUF,ARI,34,28,final
1,2024-09-08,NO,CAR,47,10,final
1,2024-09-08,CLE,DAL,17,33,final
1,2024-09-08,SEA,DEN,26,20,final
1,2024-09-08,IND,HOU,27,29,final
1,2024-09-08,MIA,JAX,20,17,final
1,2024-09-08,DET,LA,26,20,final
1,2024-09-08,LAC,LV,22,10,final
1,2024-09-08,NYG,MIN,6,28,final
1,2024-09-08,CIN,NE,10,16,final
1,2024-09-08,ATL,PIT,10,18,final
1,2024-09-08,CHI,TEN,24,17,final
1,2024-09-08,TB,WAS,37,20,final
1,2024-09-09,SF,NYJ,32,19,final
2,2024-09-12,MIA,BUF,10,31,final
2,2024-09-15,HOU,CHI,19,13,final
2,2024-09-15,KC,CIN,26,25,final
2,2024-09-15,JAX,CLE,13,18,final
2,2024-09-15,GB,IND,16,10,final
2,2024-09-15,CAR,LAC,3,26,final
2,2024-09-15,ARI,LA,41,10,final
2,2024-09-15,BAL,LV,23,26,final
2,2024-09-15,DAL,NO,19,44,final
2,2024-09-15,WAS,NYG,21,18,final
2,2024-09-15,TEN,NYJ,17,24,final
2,2024-09-15,DEN,PIT,6,13,final
2,2024-09-15,NE,SEA,20,23,final
2,2024-09-15,MIN,SF,23,17,final
2,2024-09-15,DET,TB,16,20,final
2,2024-09-16,PHI,ATL,21,22,final
3,2024-09-19,NYJ,NE,24,3,final
3,2024-09-22,DAL,BAL,25,28,final
3,2024-09-22,LV,CAR,22,36,final
3,2024-09-22,IND,CHI,21,16,final
3,2024-09-22,TB,DEN,7,26,final
3,2024-09-22,ARI,DET,13,20,final
3,2024-09-22,TEN,GB,14,30,final
3,2024-09-22,MIN,HOU,34,7,final
3,2024-09-22,ATL,KC,17,22,final
3,2024-09-22,PIT,LAC,20,10,final
3,2024-09-22,SEA,MIA,24,3,final
3,2024-09-22,CLE,NYG,15,21,final
3,2024-09-22,NO,PHI,12,15,final
3,2024-09-22,LA,SF,27,24,final
3,2024-09-23,BUF,JAX,47,10,final
3,2024-09-23,CIN,WAS,33,38,final
4,2024-09-26,NYG,DAL,15,20,final
4,2024-09-29,BAL,BUF,35,10,final
4,2024-09-29,CAR,CIN,24,34,final
4,2024-09-29,LV,CLE,20,16,final
4,2024-09-29,NYJ,DEN,9,10,final
4,2024-09-29,HOU,JAX,24,20,final
4,2024-09-29,LAC,KC,10,17,final
4,2024-09-29,CHI,LA,24,18,final
4,2024-09-29,GB,MIN,29,31,final
4,2024-09-29,SF,NE,30,13,final
4,2024-09-29,ATL,NO,26,24,final
4,2024-09-29,TB,PHI,33,16,final
4,2024-09-29,IND,PIT,27,24,final
4,2024-09-29,ARI,WAS,14,42,final
4,2024-09-30,DET,SEA,42,29,final
4,2024-09-30,MIA,TEN,12,31,final
5,2024-10-03,ATL,TB,36,30,final
5,2024-10-06,SF,ARI,23,24,final
5,2024-10-06,CIN,BAL,38,41,final
5,2024-10-06,HOU,BUF,23,20,final
5,2024-10-06,CHI,CAR,36,10,final
5,2024-10-06,WAS,CLE,34,13,final
5,2024-10-06,PIT,DAL,17,20,final
5,2024-10-06,LA,GB,19,24,final
5,2024-10-06,JAX,IND,37,34,final
5,2024-10-06,DEN,LV,34,18,final
5,2024-10-06,NE,MIA,10,15,final
5,2024-10-06,SEA,NYG,20,29,final
5,2024-10-06,MIN,NYJ,23,17,final
5,2024-10-07,KC,NO,26,13,final
6,2024-10-10,SEA,SF,24,36,final
6,2024-10-13,GB,ARI,34,13,final
6,2024-10-13,CAR,ATL,20,38,final
6,2024-10-13,NYG,CIN,7,17,final
6,2024-10-13,PHI,CLE,20,16,final
6,2024-10-13,DAL,DET,9,47,final
6,2024-10-13,NE,HOU,21,41,final
6,2024-10-13,TEN,IND,17,20,final
6,2024-10-13,CHI,JAX,35,16,final
6,2024-10-13,DEN,LAC,16,23,final
6,2024-10-13,LV,PIT,13,32,final
6,2024-10-13,NO,TB,27,51,final
6,2024-10-13,BAL,WAS,30,23,final
6,2024-10-14,NYJ,BUF,20,23,final
7,2024-10-17,NO,DEN,10,33,final
7,2024-10-20,WAS,CAR,40,7,final
7,2024-10-20,CLE,CIN,14,21,final
7,2024-10-20,MIN,DET,29,31,final
7,2024-10-20,GB,HOU,24,22,final
7,2024-10-20,SF,KC,18,28,final
7,2024-10-20,LA,LV,20,15,final
7,2024-10-20,IND,MIA,16,10,final
7,2024-10-20,JAX,NE,32,16,final
7,2024-10-20,PIT,NYJ,37,15,final
7,2024-10-20,NYG,PHI,3,28,final
7,2024-10-20,ATL,SEA,14,34,final
7,2024-10-20,BUF,TEN,34,10,final
7,2024-10-21,TB,BAL,31,41,final
7,2024-10-21,ARI,LAC,17,15,final
8,2024-10-24,LA,MIN,30,20,final
8,2024-10-27,MIA,ARI,27,28,final
8,2024-10-27,TB,ATL,26,31,final
8,2024-10-27,CLE,BAL,29,24,final
8,2024-10-27,SEA,BUF,10,31,final
8,2024-10-27,DEN,CAR,28,14,final
8,2024-10-27,WAS,CHI,18,15,final
8,2024-10-27,SF,DAL,30,24,final
8,2024-10-27,JAX,GB,27,30,final
8,2024-10-27,HOU,IND,23,20,final
8,2024-10-27,LV,KC,20,27,final
8,2024-10-27,LAC,NO,26,8,final
8,2024-10-27,NE,NYJ,25,22,final
8,2024-10-27,CIN,PHI,17,37,final
8,2024-10-27,DET,TEN,52,14,final
8,2024-10-28,PIT,NYG,26,18,final
9,2024-10-31,NYJ,HOU,21,13,final
9,2024-11-03,ARI,CHI,29,9,final
9,2024-11-03,ATL,DAL,27,21,final
9,2024-11-03,BAL,DEN,41,10,final
9,2024-11-03,GB,DET,14,24,final
9,2024-11-03,MIN,IND,21,13,final
9,2024-11-03,PHI,JAX,28,23,final
9,2024-11-03,CLE,LAC,10,27,final
9,2024-11-03,SEA,LA,20,26,final
9,2024-11-03,CIN,LV,41,24,final
9,2024-11-03,BUF,MIA,30,27,final
9,2024-11-03,TEN,NE,20,17,final
9,2024-11-03,CAR,NO,23,22,final
9,2024-11-03,NYG,WAS,22,27,final
9,2024-11-04,KC,TB,30,24,final
10,2024-11-07,BAL,CIN,35,34,final
10,2024-11-10,NO,ATL,20,17,final
10,2024-11-10,IND,BUF,20,30,final
10,2024-11-10,KC,DEN,16,14,final
10,2024-11-10,HOU,DET,23,26,final
10,2024-11-10,JAX,MIN,7,12,final
10,2024-11-10,CHI,NE,3,19,final
10,2024-11-10,CAR,NYG,20,17,final
10,2024-11-10,ARI,NYJ,31,6,final
10,2024-11-10,DAL,PHI,6,34,final
10,2024-11-10,WAS,PIT,27,28,final
10,2024-11-10,TB,SF,20,23,final
10,2024-11-10,LAC,TEN,27,17,final
10,2024-11-11,LA,MIA,15,23,final
11,2024-11-14,PHI,WAS,26,18,final
11,2024-11-17,DEN,ATL,38,6,final
11,2024-11-17,PIT,BAL,18,16,final
11,2024-11-17,LAC,CIN,34,27,final
11,2024-11-17,NO,CLE,35,14,final
11,2024-11-17,CHI,GB,19,20,final
11,2024-11-17,NYJ,IND,27,28,final
11,2024-11-17,DET,JAX,52,6,final
11,2024-11-17,BUF,KC,30,21,final
11,2024-11-17,NE,LA,22,28,final
11,2024-11-17,MIA,LV,34,19,final
11,2024-11-17,TEN,MIN,13,23,final
11,2024-11-17,SF,SEA,17,20,final
11,2024-11-18,DAL,HOU,10,34,final
12,2024-11-21,CLE,PIT,24,19,final
12,2024-11-24,SEA,ARI,16,6,final
12,2024-11-24,WAS,DAL,26,34,final
12,2024-11-24,LV,DEN,19,29,final
12,2024-11-24,IND,DET,6,24,final
12,2024-11-24,CAR,KC,27,30,final
12,2024-11-24,CHI,MIN,27,30,final
12,2024-11-24,MIA,NE,34,15,final
12,2024-11-24,LA,PHI,20,37,final
12,2024-11-24,GB,SF,38,10,final
12,2024-11-24,NYG,TB,7,30,final
12,2024-11-24,HOU,TEN,27,32,final
12,2024-11-25,LAC,BAL,23,30,final
13,2024-11-28,DET,CHI,23,20,final
13,2024-11-28,GB,MIA,30,17,final
13,2024-11-28,DAL,NYG,27,20,final
13,2024-11-29,KC,LV,19,17,final
13,2024-12-01,MIN,ARI,23,22,final
13,2024-12-01,JAX,HOU,20,23,final
13,2024-12-01,NE,IND,24,25,final
13,2024-12-01,ATL,LAC,13,17,final
