week,date,home_team,away_team,home_score,away_score,status
1,2021-09-09,TB,DAL,31,29,final
1,2021-09-12,TEN,ARI,13,38,final
1,2021-09-12,LA,CHI,34,14,final
1,2021-09-12,KC,CLE,33,29,final
1,2021-09-12,NYG,DEN,13,27,final
1,2021-09-12,NO,GB,38,3,final
1,2021-09-12,HOU,JAX,37,21,final
1,2021-09-12,WAS,LAC,16,20,final
1,2021-09-12,NE,MIA,16,17,final
1,2021-09-12,CIN,MIN,27,24,final
1,2021-09-12,CAR,NYJ,19,14,final
1,2021-09-12,ATL,PHI,6,32,final
1,2021-09-12,BUF,PIT,16,23,final
1,2021-09-12,IND,SEA,16,28,final
1,2021-09-12,DET,SF,33,41,final
1,2021-09-13,LV,BAL,33,27,final
2,2021-09-16,WAS,NYG,30,29,final
2,2021-09-19,TB,ATL,48,25,final
2,2021-09-19,MIA,BUF,0,35,final
2,2021-09-19,CHI,CIN,20,17,final
2,2021-09-19,LAC,DAL,17,20,final
2,2021-09-19,JAX,DEN,13,23,final
2,2021-09-19,CLE,HOU,31,21,final
2,2021-09-19,BAL,KC,36,35,final
2,2021-09-19,IND,LA,24,27,final
2,2021-09-19,PIT,LV,17,26,final
2,2021-09-19,ARI,MIN,34,33,final
2,2021-09-19,NYJ,NE,6,25,final
2,2021-09-19,CAR,NO,26,7,final
2,2021-09-19,PHI,SF,11,17,final
2,2021-09-19,SEA,TEN,30,33,final
2,2021-09-20,GB,DET,35,17,final
3,2021-09-23,HOU,CAR,9,24,final
3,2021-09-26,JAX,ARI,19,31,final
3,2021-09-26,NYG,ATL,14,17,final
3,2021-09-26,DET,BAL,17,19,final
3,2021-09-26,CLE,CHI,26,6,final
3,2021-09-26,PIT,CIN,10,24,final
3,2021-09-26,SF,GB,28,30,final
3,2021-09-26,TEN,IND,25,16,final
3,2021-09-26,KC,LAC,24,30,final
3,2021-09-26,LV,MIA,31,28,final
3,2021-09-26,NE,NO,13,28,final
3,2021-09-26,DEN,NYJ,26,0,final
3,2021-09-26,MIN,SEA,30,17,final
3,2021-09-26,LA,TB,34,24,final
3,2021-09-26,BUF,WAS,43,21,final
3,2021-09-27,DAL,PHI,41,21,final
4,2021-09-30,CIN,JAX,24,21,final
4,2021-10-03,LA,ARI,20,37,final
4,2021-10-03,DEN,BAL,7,23,final
4,2021-10-03,DAL,CAR,36,28,final
4,2021-10-03,MIN,CLE,7,14,final
4,2021-10-03,CHI,DET,24,14,final
4,2021-10-03,BUF,HOU,40,0,final
4,2021-10-03,MIA,IND,17,27,final
4,2021-10-03,PHI,KC,30,42,final
4,2021-10-03,NO,NYG,21,27,final
4,2021-10-03,GB,PIT,27,17,final
4,2021-10-03,SF,SEA,21,28,final
4,2021-10-03,NE,TB,17,19,final
4,2021-10-03,NYJ,TEN,27,24,final
4,2021-10-03,ATL,WAS,30,34,final
4,2021-10-04,LAC,LV,28,14,final
5,2021-10-07,SEA,LA,17,26,final
5,2021-10-10,KC,BUF,20,38,final
5,2021-10-10,LV,CHI,9,20,final
5,2021-10-10,LAC,CLE,47,42,final
5,2021-10-10,PIT,DEN,27,19,final
5,2021-10-10,MIN,DET,19,17,final
5,2021-10-10,CIN,GB,22,25,final
5,2021-10-10,TB,MIA,45,17,final
5,2021-10-10,HOU,NE,22,25,final
5,2021-10-10,WAS,NO,22,33,final
5,2021-10-10,DAL,NYG,44,20,final
5,2021-10-10,ATL,NYJ,27,20,final
5,2021-10-10,CAR,PHI,18,21,final
5,2021-10-10,ARI,SF,17,10,final
5,2021-10-10,JAX,TEN,19,37,final
5,2021-10-11,BAL,IND,31,25,final
6,2021-10-14,PHI,TB,22,28,final
6,2021-10-17,CLE,ARI,14,37,final
6,2021-10-17,DET,CIN,11,34,final
6,2021-10-17,NE,DAL,29,35,final
6,2021-10-17,CHI,GB,14,24,final
6,2021-10-17,IND,HOU,31,3,final
6,2021-10-17,WAS,KC,13,31,final
6,2021-10-17,BAL,LAC,34,6,final
6,2021-10-17,NYG,LA,11,38,final
6,2021-10-17,DEN,LV,24,34,final
6,2021-10-17,JAX,MIA,23,20,final
6,2021-10-17,CAR,MIN,28,34,final
6,2021-10-17,PIT,SEA,23,20,final
6,2021-10-18,TEN,BUF,34,31,final
7,2021-10-21,CLE,DEN,17,14,final
7,2021-10-24,MIA,ATL,28,30,final
7,2021-10-24,NYG,CAR,25,3,final
7,2021-10-24,TB,CHI,38,3,final
7,2021-10-24,BAL,CIN,17,41,final
7,2021-10-24,LA,DET,28,19,final
7,2021-10-24,ARI,HOU,31,5,final
7,2021-10-24,SF,IND,18,30,final
7,2021-10-24,TEN,KC,27,3,final
7,2021-10-24,NE,NYJ,54,13,final
7,2021-10-24,LV,PHI,33,22,final
7,2021-10-24,GB,WAS,24,10,final
7,2021-10-25,SEA,NO,10,13,final
8,2021-10-28,ARI,GB,21,24,final
8,2021-10-31,ATL,CAR,13,19,final
8,2021-10-31,NYJ,CIN,34,31,final
8,2021-10-31,MIN,DAL,16,20,final
8,2021-10-31,SEA,JAX,31,7,final
8,2021-10-31,HOU,LA,22,38,final
8,2021-10-31,BUF,MIA,26,11,final
8,2021-10-31,LAC,NE,24,27,final
8,2021-10-31,DET,PHI,6,44,final
8,2021-10-31,CLE,PIT,10,15,final
8,2021-10-31,CHI,SF,22,33,final
8,2021-10-31,NO,TB,36,27,final
8,2021-10-31,IND,TEN,31,34,final
8,2021-10-31,DEN,WAS,17,10,final
8,2021-11-01,KC,NYG,20,17,final
9,2021-11-04,IND,NYJ,45,30,final
9,2021-11-07,SF,ARI,17,31,final
9,2021-11-07,NO,ATL,25,27,final
9,2021-11-07,JAX,BUF,9,6,final
9,2021-11-07,CIN,CLE,16,41,final
9,2021-11-07,DAL,DEN,16,30,final
9,2021-11-07,KC,GB,13,7,final
9,2021-11-07,MIA,HOU,17,9,final
9,2021-11-07,PHI,LAC,24,27,final
9,2021-11-07,NYG,LV,23,16,final
9,2021-11-07,BAL,MIN,34,31,final
9,2021-11-07,CAR,NE,6,24,final
9,2021-11-07,LA,TEN,16,28,final
9,2021-11-08,PIT,CHI,29,27,final
10,2021-11-11,MIA,BAL,22,10,final
10,2021-11-14,DAL,ATL,43,3,final
10,2021-11-14,NYJ,BUF,17,45,final
10,2021-11-14,ARI,CAR,10,34,final
10,2021-11-14,NE,CLE,45,7,final
10,2021-11-14,PIT,DET,16,16,final
10,2021-11-14,IND,JAX,23,17,final
10,2021-11-14,LV,KC,14,41,final
10,2021-11-14,LAC,MIN,20,27,final
10,2021-11-14,TEN,NO,23,21,final
10,2021-11-14,DEN,PHI,13,30,final
10,2021-11-14,GB,SEA,17,0,final
10,2021-11-14,WAS,TB,29,19,final
10,2021-11-15,SF,LA,31,10,final
11,2021-11-18,ATL,NE,0,25,final
11,2021-11-21,SEA,ARI,13,23,final
11,2021-11-21,CHI,BAL,13,16,final
11,2021-11-21,LV,CIN,13,32,final
11,2021-11-21,KC,DAL,19,9,final
11,2021-11-21,CLE,DET,13,10,final
11,2021-11-21,MIN,GB,34,31,final
11,2021-11-21,TEN,HOU,13,22,final
11,2021-11-21,BUF,IND,15,41,final
11,2021-11-21,NYJ,MIA,17,24,final
11,2021-11-21,PHI,NO,40,29,final
11,2021-11-21,LAC,PIT,41,37,final
11,2021-11-21,JAX,SF,10,30,final
11,2021-11-21,CAR,WAS,21,27,final
11,2021-11-22,TB,NYG,30,10,final
12,2021-11-25,NO,BUF,6,31,final
12,2021-11-25,DET,CHI,14,16,final
12,2021-11-25,DAL,LV,33,36,final
12,2021-11-28,JAX,ATL,14,21,final
12,2021-11-28,MIA,CAR,33,10,final
12,2021-11-28,BAL,CLE,16,10,final
12,2021-11-28,DEN,LAC,28,13,final
12,2021-11-28,GB,LA,36,28,final
12,2021-11-28,SF,MIN,34,26,final
12,2021-11-28,HOU,NYJ,14,21,final
12,2021-11-28,NYG,PHI,13,7,final
12,2021-11-28,CIN,PIT,41,10,final
12,2021-11-28,IND,TB,31,38,final
12,2021-11-28,NE,TEN,36,13,final
12,2021-11-29,WAS,SEA,17,15,final
13,2021-12-02,NO,DAL,17,27,final
13,2021-12-05,CHI,ARI,22,33,final
13,2021-12-05,PIT,BAL,20,19,final
13,2021-12-05,KC,DEN,22,9,final
13,2021-12-05,HOU,IND,0,31,final
13,2021-12-05,LA,JAX,37,7,final
13,2021-12-05,CIN,LAC,22,41,final
13,2021-12-05,DET,MIN,29,27,final
13,2021-12-05,MIA,NYG,20,9,final
13,2021-12-05,NYJ,PHI,18,33,final
13,2021-12-05,SEA,SF,30,23,final
13,2021-12-05,ATL,TB,17,30,final
13,2021-12-05,LV,WAS,15,17,final
13,2021-12-06,BUF,NE,10,14,final
14,2021-12-09,MIN,PIT,36,28,final
14,2021-12-12,CAR,ATL,21,29,final
14,2021-12-12,CLE,BAL,24,22,final
14,2021-12-12,TB,BUF,33,27,final
14,2021-12-12,GB,CHI,45,30,final
14,2021-12-12,WAS,DAL,20,27,final
14,2021-12-12,DEN,DET,38,10,final
14,2021-12-12,TEN,JAX,20,0,final
14,2021-12-12,KC,LV,48,9,final
14,2021-12-12,NYJ,NO,9,30,final
14,2021-12-12,LAC,NYG,37,21,final
14,2021-12-12,HOU,SEA,13,33,final
14,2021-12-12,CIN,SF,23,26,final
14,2021-12-13,ARI,LA,23,30,final
15,2021-12-16,LAC,KC,28,34,final
15,2021-12-18,IND,NE,27,17,final
15,2021-12-19,DET,ARI,30,12,final
15,2021-12-19,SF,ATL,31,13,final
15,2021-12-19,BUF,CAR,31,14,final
15,2021-12-19,DEN,CIN,10,15,final
15,2021-12-19,NYG,DAL,6,21,final
15,2021-12-19,BAL,GB,30,31,final
15,2021-12-19,JAX,HOU,16,30,final
15,2021-12-19,TB,NO,0,9,final
15,2021-12-19,MIA,NYJ,31,24,final
15,2021-12-19,PIT,TEN,19,13,final
15,2021-12-20,CLE,LV,14,16,final
15,2021-12-20,CHI,MIN,9,17,final
15,2021-12-21,LA,SEA,20,10,final
15,2021-12-21,PHI,WAS,27,17,final
16,2021-12-23,TEN,SF,20,17,final
16,2021-12-25,GB,CLE,24,22,final
16,2021-12-25,ARI,IND,16,22,final
16,2021-12-26,CIN,BAL,41,21,final
16,2021-12-26,NE,BUF,21,33,final
16,2021-12-26,SEA,CHI,24,25,final
16,2021-12-26,LV,DEN,17,13,final
16,2021-12-26,ATL,DET,20,16,final
16,2021-12-26,NYJ,JAX,26,21,final
16,2021-12-26,HOU,LAC,41,29,final
16,2021-12-26,MIN,LA,23,30,final
16,2021-12-26,PHI,NYG,34,10,final
16,2021-12-26,KC,PIT,36,10,final
16,2021-12-26,CAR,TB,6,32,final
16,2021-12-26,DAL,WAS,56,14,final
16,2021-12-27,NO,MIA,3,20,final
17,2022-01-02,DAL,ARI,22,25,final
17,2022-01-02,BUF,ATL,29,15,final
17,2022-01-02,NO,CAR,18,10,final
17,2022-01-02,LAC,DEN,34,13,final
17,2022-01-02,SEA,DET,51,29,final
17,2022-01-02,SF,HOU,23,7,final
17,2022-01-02,NE,JAX,50,10,final
17,2022-01-02,CIN,KC,34,31,final
17,2022-01-02,BAL,LA,19,20,final
17,2022-01-02,IND,LV,20,23,final
17,2022-01-02,TEN,MIA,34,3,final
17,2022-01-02,GB,MIN,37,10,final
17,2022-01-02,CHI,NYG,29,3,final
17,2022-01-02,WAS,PHI,16,20,final
17,2022-01-02,NYJ,TB,24,28,final
17,2022-01-03,PIT,CLE,26,14,final
18,2022-01-08,PHI,DAL,26,51,final
18,2022-01-08,DEN,KC,24,28,final
18,2022-01-09,TB,CAR,41,17,final
18,2022-01-09,MIN,CHI,31,17,final
18,2022-01-09,CLE,CIN,21,16,final
18,2022-01-09,DET,GB,37,30,final
18,2022-01-09,JAX,IND,26,11,final
18,2022-01-09,LV,LAC,35,32,final
18,2022-01-09,MIA,NE,33,24,final
18,2022-01-09,ATL,NO,20,30,final
18,2022-01-09,BUF,NYJ,27,10,final
18,2022-01-09,BAL,PIT,13,16,final
18,2022-01-09,ARI,SEA,30,38,final
18,2022-01-09,LA,SF,24,27,final
18,2022-01-09,HOU,TEN,25,28,final
18,2022-01-09,NYG,WAS,7,22,final
