week,date,home_team,away_team,home_score,away_score,status
1,2023-09-07,KC,DET,20,21,final
1,2023-09-10,WAS,ARI,20,16,final
1,2023-09-10,ATL,CAR,24,10,final
1,2023-09-10,CLE,CIN,24,3,final
1,2023-09-10,NYG,DAL,0,40,final
1,2023-09-10,CHI,GB,20,38,final
1,2023-09-10,BAL,HOU,25,9,final
1,2023-09-10,IND,JAX,21,31,final
1,2023-09-10,SEA,LA,13,30,final
1,2023-09-10,DEN,LV,16,17,final
1,2023-09-10,LAC,MIA,34,36,final
1,2023-09-10,NE,PHI,20,25,final
1,2023-09-10,PIT,SF,7,30,final
1,2023-09-10,MIN,TB,17,20,final
1,2023-09-10,NO,TEN,16,15,final
1,2023-09-11,NYJ,BUF,22,16,final
2,2023-09-14,PHI,MIN,34,28,final
2,2023-09-17,CIN,BAL,24,27,final
2,2023-09-17,TB,CHI,27,17,final
2,2023-09-17,ATL,GB,25,24,final
2,2023-09-17,HOU,IND,20,31,final
2,2023-09-17,JAX,KC,9,17,final
2,2023-09-17,TEN,LAC,27,24,final
2,2023-09-17,BUF,LV,38,10,final
2,2023-09-17,NE,MIA,17,24,final
2,2023-09-17,ARI,NYG,28,31,final
2,2023-09-17,DAL,NYJ,30,10,final
2,2023-09-17,DET,SEA,31,37,final
2,2023-09-17,LA,SF,23,30,final
2,2023-09-17,DEN,WAS,33,35,final
2,2023-09-18,PIT,CLE,26,22,final
2,2023-09-18,CAR,NO,17,20,final
3,2023-09-21,SF,NYG,30,12,final
3,2023-09-24,DET,ATL,20,6,final
3,2023-09-24,WAS,BUF,3,37,final
3,2023-09-24,SEA,CAR,37,27,final
3,2023-09-24,KC,CHI,41,10,final
3,2023-09-24,ARI,DAL,28,16,final
3,2023-09-24,MIA,DEN,70,20,final
3,2023-09-24,JAX,HOU,17,37,final
3,2023-09-24,BAL,IND,19,22,final
3,2023-09-24,MIN,LAC,24,28,final
3,2023-09-24,NYJ,NE,10,15,final
3,2023-09-24,GB,NO,18,17,final
3,2023-09-24,LV,PIT,18,23,final
3,2023-09-24,CLE,TEN,27,3,final
3,2023-09-25,CIN,LA,19,16,final
3,2023-09-25,TB,PHI,11,25,final
4,2023-09-28,GB,DET,20,34,final
4,2023-10-01,SF,ARI,35,16,final
4,2023-10-01,JAX,ATL,23,7,final
4,2023-10-01,CLE,BAL,3,28,final
4,2023-10-01,TEN,CIN,27,3,final
4,2023-10-01,CHI,DEN,28,31,final
4,2023-10-01,NYJ,KC,20,23,final
4,2023-10-01,IND,LA,23,29,final
4,2023-10-01,LAC,LV,24,17,final
4,2023-10-01,BUF,MIA,48,20,final
4,2023-10-01,CAR,MIN,13,21,final
4,2023-10-01,DAL,NE,38,3,final
4,2023-10-01,HOU,PIT,30,6,final
4,2023-10-01,NO,TB,9,26,final
4,2023-10-01,PHI,WAS,34,31,final
4,2023-10-02,NYG,SEA,3,24,final
5,2023-10-05,WAS,CHI,20,40,final
5,2023-10-08,PIT,BAL,17,10,final
5,2023-10-08,DET,CAR,42,24,final
5,2023-10-08,ARI,CIN,20,34,final
5,2023-10-08,SF,DAL,42,10,final
5,2023-10-08,ATL,HOU,21,19,final
5,2023-10-08,BUF,JAX,20,25,final
5,2023-10-08,MIN,KC,20,27,final
5,2023-10-08,NE,NO,0,34,final
5,2023-10-08,MIA,NYG,31,16,final
5,2023-10-08,DEN,NYJ,21,31,final
5,2023-10-08,LA,PHI,14,23,final
5,2023-10-08,IND,TEN,23,16,final
5,2023-10-09,LV,GB,17,13,final
6,2023-10-12,KC,DEN,19,8,final
6,2023-10-15,LA,ARI,26,9,final
6,2023-10-15,TEN,BAL,16,24,final
6,2023-10-15,MIA,CAR,42,21,final
6,2023-10-15,TB,DET,6,20,final
6,2023-10-15,JAX,IND,37,20,final
6,2023-10-15,CHI,MIN,13,19,final
6,2023-10-15,LV,NE,21,17,final
6,2023-10-15,HOU,NO,20,13,final
6,2023-10-15,BUF,NYG,14,9,final
6,2023-10-15,NYJ,PHI,20,14,final
6,2023-10-15,CIN,SEA,17,13,final
6,2023-10-15,CLE,SF,19,17,final
