week,date,home_team,away_team,home_score,away_score,status
1,2018-09-06,PHI,ATL,18,12,final
1,2018-09-09,BAL,BUF,47,3,final
1,2018-09-09,GB,CHI,24,23,final
1,2018-09-09,IND,CIN,23,34,final
1,2018-09-09,CAR,DAL,16,8,final
1,2018-09-09,NE,HOU,27,20,final
1,2018-09-09,NYG,JAX,15,20,final
1,2018-09-09,LAC,KC,28,38,final
1,2018-09-09,CLE,PIT,21,21,final
1,2018-09-09,DEN,SEA,27,24,final
1,2018-09-09,MIN,SF,24,16,final
1,2018-09-09,NO,TB,40,48,final
1,2018-09-09,MIA,TEN,27,20,final
1,2018-09-09,ARI,WAS,6,24,final
1,2018-09-10,LV,LA,13,33,final
1,2018-09-10,DET,NYJ,17,48,final
2,2018-09-13,CIN,BAL,34,23,final
2,2018-09-16,LA,ARI,34,0,final
2,2018-09-16,ATL,CAR,31,24,final
2,2018-09-16,NO,CLE,21,18,final
2,2018-09-16,SF,DET,30,27,final
2,2018-09-16,TEN,HOU,20,17,final
2,2018-09-16,WAS,IND,9,21,final
2,2018-09-16,PIT,KC,37,42,final
2,2018-09-16,BUF,LAC,20,31,final
2,2018-09-16,NYJ,MIA,12,20,final
2,2018-09-16,GB,MIN,29,29,final
2,2018-09-16,JAX,NE,31,20,final
2,2018-09-16,DAL,NYG,20,13,final
2,2018-09-16,DEN,LV,20,19,final
2,2018-09-16,TB,PHI,27,21,final
2,2018-09-17,CHI,SEA,24,17,final
3,2018-09-20,CLE,NYJ,21,17,final
3,2018-09-23,MIN,BUF,6,27,final
3,2018-09-23,ARI,CHI,14,16,final
3,2018-09-23,CAR,CIN,31,21,final
3,2018-09-23,SEA,DAL,24,13,final
3,2018-09-23,BAL,DEN,27,14,final
3,2018-09-23,WAS,GB,31,17,final
3,2018-09-23,PHI,IND,20,16,final
3,2018-09-23,LA,LAC,35,23,final
3,2018-09-23,DET,NE,26,10,final
3,2018-09-23,ATL,NO,37,43,final
3,2018-09-23,HOU,NYG,22,27,final
3,2018-09-23,MIA,LV,28,20,final
3,2018-09-23,KC,SF,38,27,final
3,2018-09-23,JAX,TEN,6,9,final
3,2018-09-24,TB,PIT,27,30,final
4,2018-09-27,LA,MIN,38,31,final
4,2018-09-30,PIT,BAL,14,26,final
4,2018-09-30,GB,BUF,22,0,final
4,2018-09-30,ATL,CIN,36,37,final
4,2018-09-30,LV,CLE,45,42,final
4,2018-09-30,DAL,DET,26,24,final
4,2018-09-30,IND,HOU,34,37,final
4,2018-09-30,NE,MIA,38,7,final
4,2018-09-30,NYG,NO,18,33,final
4,2018-09-30,JAX,NYJ,31,12,final
4,2018-09-30,TEN,PHI,26,23,final
4,2018-09-30,ARI,SEA,17,20,final
4,2018-09-30,LAC,SF,29,27,final
4,2018-09-30,CHI,TB,48,10,final
4,2018-10-01,DEN,KC,23,27,final
5,2018-10-04,NE,IND,38,24,final
5,2018-10-07,SF,ARI,18,28,final
5,2018-10-07,PIT,ATL,41,17,final
5,2018-10-07,CLE,BAL,12,9,final
5,2018-10-07,HOU,DAL,19,16,final
5,2018-10-07,NYJ,DEN,34,16,final
5,2018-10-07,DET,GB,31,23,final
5,2018-10-07,KC,JAX,30,14,final
5,2018-10-07,SEA,LA,31,33,final
5,2018-10-07,CIN,MIA,27,17,final
5,2018-10-07,PHI,MIN,21,23,final
5,2018-10-07,CAR,NYG,33,31,final
5,2018-10-07,LAC,LV,26,10,final
5,2018-10-07,BUF,TEN,13,12,final
5,2018-10-08,NO,WAS,43,19,final
6,2018-10-11,NYG,PHI,13,34,final
6,2018-10-14,MIN,ARI,27,17,final
6,2018-10-14,TEN,BAL,0,21,final
6,2018-10-14,HOU,BUF,20,13,final
6,2018-10-14,WAS,CAR,23,17,final
6,2018-10-14,MIA,CHI,31,28,final
6,2018-10-14,NYJ,IND,42,34,final
6,2018-10-14,DAL,JAX,40,7,final
6,2018-10-14,NE,KC,43,40,final
6,2018-10-14,CLE,LAC,14,38,final
6,2018-10-14,DEN,LA,20,23,final
6,2018-10-14,CIN,PIT,21,28,final
6,2018-10-14,LV,SEA,3,27,final
6,2018-10-14,ATL,TB,34,29,final
6,2018-10-15,GB,SF,33,30,final
7,2018-10-18,ARI,DEN,10,45,final
7,2018-10-21,IND,BUF,37,5,final
7,2018-10-21,PHI,CAR,17,21,final
7,2018-10-21,KC,CIN,45,10,final
7,2018-10-21,TB,CLE,26,23,final
7,2018-10-21,WAS,DAL,20,17,final
7,2018-10-21,MIA,DET,21,32,final
7,2018-10-21,JAX,HOU,7,20,final
7,2018-10-21,SF,LA,10,39,final
7,2018-10-21,NYJ,MIN,17,37,final
7,2018-10-21,CHI,NE,31,38,final
7,2018-10-21,BAL,NO,23,24,final
7,2018-10-21,LAC,TEN,20,19,final
7,2018-10-22,ATL,NYG,23,20,final
8,2018-10-25,HOU,MIA,42,23,final
8,2018-10-28,CAR,BAL,36,21,final
8,2018-10-28,PIT,CLE,33,18,final
8,2018-10-28,KC,DEN,30,23,final
8,2018-10-28,LA,GB,29,27,final
8,2018-10-28,LV,IND,28,42,final
8,2018-10-28,MIN,NO,20,30,final
8,2018-10-28,CHI,NYJ,24,10,final
8,2018-10-28,JAX,PHI,18,24,final
8,2018-10-28,DET,SEA,14,28,final
8,2018-10-28,ARI,SF,18,15,final
8,2018-10-28,CIN,TB,37,34,final
8,2018-10-28,NYG,WAS,13,20,final
8,2018-10-29,BUF,NE,6,25,final
9,2018-11-01,SF,LV,34,3,final
9,2018-11-04,WAS,ATL,14,38,final
9,2018-11-04,BUF,CHI,9,41,final
9,2018-11-04,MIN,DET,24,9,final
9,2018-11-04,NE,GB,31,17,final
9,2018-11-04,DEN,HOU,17,19,final
9,2018-11-04,CLE,KC,21,37,final
9,2018-11-04,SEA,LAC,17,25,final
9,2018-11-04,NO,LA,45,35,final
9,2018-11-04,MIA,NYJ,13,6,final
9,2018-11-04,BAL,PIT,16,23,final
9,2018-11-04,CAR,TB,42,28,final
9,2018-11-05,DAL,TEN,14,28,final
10,2018-11-08,PIT,CAR,52,21,final
10,2018-11-11,KC,ARI,26,14,final
10,2018-11-11,CLE,ATL,28,16,final
10,2018-11-11,NYJ,BUF,10,41,final
10,2018-11-11,PHI,DAL,20,27,final
10,2018-11-11,CHI,DET,34,22,final
10,2018-11-11,IND,JAX,29,26,final
10,2018-11-11,LV,LAC,6,20,final
10,2018-11-11,GB,MIA,31,12,final
10,2018-11-11,TEN,NE,34,10,final
10,2018-11-11,CIN,NO,14,51,final
10,2018-11-11,LA,SEA,36,31,final
10,2018-11-11,TB,WAS,3,16,final
10,2018-11-12,SF,NYG,23,27,final
11,2018-11-15,SEA,GB,27,24,final
11,2018-11-18,DET,CAR,20,19,final
11,2018-11-18,BAL,CIN,24,21,final
11,2018-11-18,ATL,DAL,19,22,final
11,2018-11-18,LAC,DEN,22,23,final
11,2018-11-18,WAS,HOU,21,23,final
11,2018-11-18,CHI,MIN,25,20,final
11,2018-11-18,ARI,LV,21,23,final
11,2018-11-18,NO,PHI,48,7,final
11,2018-11-18,JAX,PIT,16,20,final
11,2018-11-18,NYG,TB,38,35,final
11,2018-11-18,IND,TEN,38,10,final
11,2018-11-19,LA,KC,54,51,final
12,2018-11-22,NO,ATL,31,17,final
12,2018-11-22,DET,CHI,16,23,final
12,2018-11-22,DAL,WAS,31,23,final
12,2018-11-25,LAC,ARI,45,10,final
12,2018-11-25,CIN,CLE,20,35,final
12,2018-11-25,MIN,GB,24,17,final
12,2018-11-25,BUF,JAX,24,21,final
12,2018-11-25,IND,MIA,27,24,final
12,2018-11-25,NYJ,NE,13,27,final
12,2018-11-25,PHI,NYG,25,22,final
12,2018-11-25,BAL,LV,34,17,final
12,2018-11-25,DEN,PIT,24,17,final
12,2018-11-25,CAR,SEA,27,30,final
12,2018-11-25,TB,SF,27,9,final
12,2018-11-26,HOU,TEN,34,17,final
13,2018-11-29,DAL,NO,13,10,final
13,2018-12-02,GB,ARI,17,20,final
13,2018-12-02,ATL,BAL,16,26,final
13,2018-12-02,MIA,BUF,21,17,final
13,2018-12-02,TB,CAR,24,17,final
13,2018-12-02,NYG,CHI,30,27,final
13,2018-12-02,HOU,CLE,29,13,final
13,2018-12-02,CIN,DEN,10,24,final
13,2018-12-02,JAX,IND,6,0,final
13,2018-12-02,LV,KC,33,40,final
13,2018-12-02,PIT,LAC,30,33,final
13,2018-12-02,DET,LA,16,30,final
13,2018-12-02,NE,MIN,24,10,final
13,2018-12-02,TEN,NYJ,26,22,final
13,2018-12-02,SEA,SF,43,16,final
13,2018-12-03,PHI,WAS,28,13,final
14,2018-12-06,TEN,JAX,30,9,final
14,2018-12-09,GB,ATL,34,20,final
